image,lat,lon,nb_potholes,date,city,region,country
image,12,10,10,10/10/2010,marrakech,alhouz,Morocco
image,46.3490246,-72.5413181,5,10/10/2010,Trois-Rivières,Québec,Canada
image,46.3490176,-72.5413223,1,10/10/2010,Trois-Rivières,Québec,Canada
image,46.3490176,-72.5413223,1,10/10/2010,Trois-Rivières,Québec,Canada
image,46.3490176,-72.5413223,1,10/10/2010,Trois-Rivières,Québec,Canada
image,46.3490176,-72.5413223,1,10/10/2010,Trois-Rivières,Québec,Canada
image,46.3490176,-72.5413223,1,10/10/2010,Trois-Rivières,Québec,Canada
image,46.3490176,-72.5413223,3,10/10/2010,Trois-Rivières,Québec,Canada
image,46.3490176,-72.5413223,3,10/10/2010,Trois-Rivières,Québec,Canada
image,46.3490176,-72.5413223,2,10/10/2010,Trois-Rivières,Québec,Canada
image,46.3490176,-72.5413223,3,10/10/2010,Trois-Rivières,Québec,Canada
image,46.3490176,-72.5413223,2,10/10/2010,Trois-Rivières,Québec,Canada
image,46.3490152,-72.5412971,2,10/10/2010,Trois-Rivières,Québec,Canada
image,46.3490152,-72.5412971,3,10/10/2010,Trois-Rivières,Québec,Canada
image,46.3490152,-72.5412971,1,10/10/2010,Trois-Rivières,Québec,Canada
image,46.3490087,-72.5413044,3,10/10/2010,Trois-Rivières,Québec,Canada
image,46.3490087,-72.5413044,4,10/10/2010,Trois-Rivières,Québec,Canada
